id cls conf x1 y1 x2 y2 w h
1 0 0.898526 2461 426 2689 696 228 270
2 0 0.888717 135 20 305 192 170 172
3 0 0.882815 0 137 183 338 183 201
4 0 0.879533 855 1275 979 1399 124 124
5 0 0.875003 116 1307 269 1510 153 203
6 0 0.855259 2338 123 2515 350 177 227
7 0 0.848593 2243 773 2293 824 50 51
8 0 0.843899 547 964 754 1129 207 165
9 0 0.809479 1248 520 1295 596 47 76
10 0 0.781870 559 110 694 255 135 145
11 0 0.771563 1887 831 1936 887 49 56
12 0 0.765984 2416 1648 2495 1731 79 83
13 0 0.763926 691 362 740 421 49 59
14 0 0.730306 1989 196 2063 302 74 106
15 0 0.720636 1050 1666 1122 1735 72 69
16 0 0.703785 1 1202 131 1374 130 172
17 0 0.621361 1684 1300 1751 1387 67 87
18 0 0.581275 773 702 837 784 64 82
19 0 0.556166 2476 665 2577 749 101 84
20 0 0.547712 2357 1624 2420 1702 63 78
